Modelo,Mejor_Modelo,Costo_Total_Estimado,MAE,RMSE
Equipo1,seasonal,16279.496499902683,4.719812936540378,8.366081425373885
Equipo2,lag_3,29993.078849502806,42.46272699404312,73.2857172350849
