Date,X,Y,Z,Equipo1,Equipo2
2010-05-26,71.74,660.0,2010.25,542.348,913.9966666666666
2010-05-27,74.66,660.0,2003.25,542.932,912.6366666666667
2010-05-28,74.02,645.0,2036.5,530.804,918.5066666666667
2010-05-31,74.65,645.0,1952.5,530.93,890.7166666666667
2010-06-01,81.89,645.0,2302.5,532.378,1009.7966666666666
2010-06-04,86.15,607.5,2327.25,503.23,1006.9666666666667
2010-06-07,71.45,607.5,1945.5,500.29,874.8166666666666
2010-06-08,80.16,607.5,2216.5,502.032,968.0533333333333
2010-06-09,76.87,607.5,2128.25,501.374,937.54
2010-06-10,85.06,607.5,2334.5,503.012,1009.02
2010-06-14,75.2,600.0,1945.25,495.04,873.4833333333332
2010-06-15,76.2,600.0,1964.75,495.24,880.3166666666666
2010-06-16,78.14,600.0,1967.25,495.628,881.7966666666666
2010-06-17,78.68,600.0,1950.25,495.736,876.3100000000001
2010-06-18,78.22,600.0,1930.5,495.644,869.5733333333334
2010-06-21,78.82,600.0,1968.25,495.764,882.3566666666666
2010-06-22,78.04,600.0,1900.75,495.608,859.5966666666667
2010-06-23,76.27,600.0,1921.5,495.254,865.9233333333333
2010-06-24,76.47,600.0,1908.25,495.294,861.5733333333334
2010-06-25,78.12,635.0,1945.5,523.624,886.2066666666666
2010-06-28,77.59,635.0,1995.0,523.518,902.5300000000001
2010-06-29,75.44,635.0,1962.25,523.088,890.8966666666666
2010-06-30,75.01,635.0,1923.75,523.002,877.9200000000001
2010-07-01,81.51,635.0,2306.5,524.302,1007.6700000000001
2010-07-05,78.27,605.0,2094.5,499.654,925.9233333333333
2010-07-06,72.12,605.0,1828.25,498.424,835.1233333333333
2010-07-07,73.51,605.0,1954.25,498.702,877.5866666666667
2010-07-09,77.74,602.5,2109.75,497.548,929.9966666666666
2010-07-12,91.39,602.5,2325.25,500.278,1006.38
2010-07-13,76.65,602.5,1947.5,497.33,875.5500000000001
2010-07-14,76.77,602.5,2003.25,497.354,894.1733333333333
2010-07-15,76.19,602.5,1990.75,497.238,889.8133333333334
2010-07-16,75.37,595.0,2008.25,491.074,892.8733333333333
2010-07-19,75.62,595.0,1946.75,491.124,872.4566666666666
2010-07-20,76.22,595.0,1930.25,491.244,867.1566666666668
2010-07-21,75.37,595.0,1975.0,491.074,881.79
2010-07-22,77.82,595.0,2006.25,491.564,893.0233333333332
2010-07-23,77.45,612.5,2008.25,505.49,899.4
2010-07-26,77.5,612.5,2020.5,505.5,903.5
2010-07-27,76.13,612.5,2042.5,505.226,910.3766666666667
2010-07-28,76.06,612.5,2058.75,505.212,915.77
2010-07-29,77.59,612.5,2082.5,505.51800000000003,924.1966666666667
2010-07-30,78.18,625.0,2126.5,515.636,943.2266666666668
2010-08-02,70.11,625.0,1973.75,514.022,889.62
2010-08-03,80.47,625.0,2223.75,516.094,976.4066666666668
2010-08-04,84.81,625.0,2295.25,516.962,1001.6866666666666
2010-08-06,72.3,627.5,1850.25,516.46,850.0166666666668
2010-08-09,78.17,627.5,2120.25,517.634,941.9733333333334
2010-08-10,84.03,627.5,2320.5,518.806,1010.6766666666666
2010-08-11,88.46,627.5,2413.5,519.692,1043.1533333333334
2010-08-12,90.77,627.5,2295.75,520.154,1004.6733333333333
2010-08-13,75.11,645.0,2142.5,531.022,954.2033333333334
2010-08-16,74.85,645.0,2120.5,530.97,946.7833333333333
2010-08-17,76.93,645.0,2134.5,531.386,952.1433333333334
2010-08-18,76.47,645.0,2145.5,531.294,955.6566666666668
2010-08-19,75.3,645.0,2093.5,531.06,937.9333333333334
2010-08-20,74.26,635.0,2093.5,522.852,934.2533333333334
2010-08-23,73.62,635.0,2058.0,522.724,922.2066666666666
2010-08-24,72.38,635.0,2038.25,522.476,915.21
2010-08-25,73.48,635.0,2015.5,522.696,907.9933333333333
2010-08-26,75.02,635.0,1998.25,523.004,902.7566666666667
2010-08-27,76.65,622.5,1996.25,513.33,898.4666666666667
2010-08-30,76.6,622.5,2044.5,513.32,914.5333333333333
2010-08-31,74.64,622.5,2044.5,512.928,913.88
2010-09-02,72.13,622.5,2002.25,512.426,898.96
2010-09-03,79.91,615.0,2200.25,507.98199999999997,965.0533333333333
2010-09-06,74.27,615.0,1910.75,506.854,866.6733333333333
2010-09-07,75.42,615.0,1970.25,507.084,886.89
2010-09-08,80.99,615.0,2200.75,508.198,965.5799999999999
2010-09-09,77.47,615.0,2082.25,507.494,924.9066666666668
2010-09-13,79.03,625.0,2107.5,515.806,937.1766666666666
2010-09-14,79.16,625.0,2101.0,515.832,935.0533333333333
2010-09-15,78.91,625.0,2117.25,515.782,940.3866666666667
2010-09-16,78.48,625.0,2131.5,515.696,944.9933333333333
2010-09-17,78.21,635.0,2155.5,523.642,956.2366666666667
2010-09-20,79.32,635.0,2173.5,523.864,962.6066666666666
2010-09-21,78.42,635.0,2166.5,523.684,959.9733333333334
2010-09-22,77.95,635.0,2166.5,523.59,959.8166666666666
2010-09-23,78.11,635.0,2233.25,523.622,982.12
2010-09-24,78.87,635.0,2271.5,523.774,995.1233333333333
2010-09-27,78.57,635.0,2281.25,523.7139999999999,998.2733333333332
2010-09-28,78.71,635.0,2224.5,523.742,979.4033333333333
2010-09-29,80.77,635.0,2293.25,524.154,1003.0066666666667
2010-09-30,82.31,635.0,2313.5,524.462,1010.27
2010-10-05,80.12,590.0,2104.0,488.024,924.7066666666666
2010-10-06,75.29,590.0,1906.0,487.058,857.0966666666667
2010-10-08,79.6,597.5,2144.5,493.92,940.5333333333333
2010-10-11,88.96,597.5,2430.25,495.792,1038.9033333333334
2010-10-12,90.48,597.5,2315.5,496.096,1001.16
2010-10-13,84.64,597.5,2389.0,494.928,1023.7133333333333
2010-10-14,84.53,597.5,2401.75,494.906,1027.9266666666665
2010-10-15,82.45,590.0,2367.5,488.49,1013.3166666666666
2010-10-18,84.37,590.0,2348.25,488.874,1007.54
2010-10-19,81.1,590.0,2356.25,488.22,1009.1166666666667
2010-10-20,83.6,590.0,2324.0,488.72,999.1999999999999
2010-10-21,81.83,590.0,2347.5,488.366,1006.4433333333333
2010-10-22,82.96,600.0,2326.25,496.592,1003.07
2010-10-25,83.54,600.0,2361.5,496.708,1015.0133333333333
2010-10-26,83.66,600.0,2331.5,496.73199999999997,1005.0533333333333
2010-10-27,83.23,600.0,2321.5,496.646,1001.5766666666667
2010-10-28,83.59,600.0,2307.5,496.718,997.0300000000001
2010-10-29,83.15,600.0,2301.0,496.63,994.7166666666667
2010-11-01,80.97,600.0,2320.25,496.194,1000.4066666666668
2010-11-02,73.05,600.0,2012.25,494.61,895.1
2010-11-03,80.28,600.0,2194.5,496.056,958.2599999999999
2010-11-05,80.49,615.0,2027.5,508.098,907.6633333333333
2010-11-08,77.64,615.0,2150.5,507.528,947.7133333333333
2010-11-10,83.72,615.0,2390.5,508.744,1029.74
2010-11-11,88.81,615.0,2445.5,509.762,1049.77
